"Borough","Complaint.Type","Resolution.Mean"
"BRONX","Blocked Driveway",6.1293360722256
"BROOKLYN","Blocked Driveway",3.7541624369386
"MANHATTAN","Blocked Driveway",2.97281279178338
"QUEENS","Blocked Driveway",3.30257916407477
"STATEN.ISLAND","Blocked Driveway",3.35317147856518
"Unspecified","Blocked Driveway",21.7910185185185
"Unspecified","DOF Literature Request",28.2134440584434
"BRONX","HEAT/HOT WATER",67.0068688266986
"BROOKLYN","HEAT/HOT WATER",48.9868799383223
"MANHATTAN","HEAT/HOT WATER",63.8092570860334
"QUEENS","HEAT/HOT WATER",88.9748180110716
"STATEN.ISLAND","HEAT/HOT WATER",82.4641259453171
"BRONX","Illegal Parking",7.29613535983372
"BROOKLYN","Illegal Parking",3.48634360621926
"MANHATTAN","Illegal Parking",3.26452966930205
"QUEENS","Illegal Parking",3.80026253082717
"STATEN.ISLAND","Illegal Parking",4.12081161027916
"Unspecified","Illegal Parking",24.0656172839506
"BRONX","Noise",89.1736036036036
"BROOKLYN","Noise",98.0671411625148
"MANHATTAN","Noise",99.7897345651855
"QUEENS","Noise",85.7680937818553
"STATEN.ISLAND","Noise",104.632675438596
"BRONX","Noise - Commercial",5.65946209981168
"BROOKLYN","Noise - Commercial",2.31977203469292
"MANHATTAN","Noise - Commercial",2.75571026462853
"QUEENS","Noise - Commercial",2.94169799498747
"STATEN.ISLAND","Noise - Commercial",2.47095528455285
"Unspecified","Noise - Commercial",12.48
"BRONX","Noise - Residential",6.99990827682142
"BROOKLYN","Noise - Residential",2.91675886608477
"MANHATTAN","Noise - Residential",2.91408157706093
"QUEENS","Noise - Residential",3.06911181804885
"STATEN.ISLAND","Noise - Residential",3.07366213151927
"Unspecified","Noise - Residential",23.3751388888889
"BRONX","PAINT/PLASTER",310.099786115301
"BROOKLYN","PAINT/PLASTER",258.764995955585
"MANHATTAN","PAINT/PLASTER",262.81105749354
"QUEENS","PAINT/PLASTER",296.075831843908
"STATEN.ISLAND","PAINT/PLASTER",296.46002750275
"BRONX","PLUMBING",336.564397299904
"BROOKLYN","PLUMBING",266.980380116959
"MANHATTAN","PLUMBING",243.592791549107
"QUEENS","PLUMBING",325.226228872264
"STATEN.ISLAND","PLUMBING",306.193623188406
"BRONX","Request Large Bulky Item Collection",66.6880508474576
"BROOKLYN","Request Large Bulky Item Collection",73.3656006114732
"MANHATTAN","Request Large Bulky Item Collection",85.561848825332
"QUEENS","Request Large Bulky Item Collection",100.218418925869
"STATEN.ISLAND","Request Large Bulky Item Collection",80.045568627451
"BRONX","Street Condition",123.07936548319
"BROOKLYN","Street Condition",91.4364987829324
"MANHATTAN","Street Condition",57.8963542046976
"QUEENS","Street Condition",63.2975674697209
"STATEN.ISLAND","Street Condition",84.5025301969666
"Unspecified","Street Condition",113.910086805556
"BRONX","Street Light Condition",26.3370218579235
"BROOKLYN","Street Light Condition",22.9714269168404
"MANHATTAN","Street Light Condition",75.7723097112861
"QUEENS","Street Light Condition",34.8274611398964
"STATEN.ISLAND","Street Light Condition",29.1377659574468
"Unspecified","Street Light Condition",90.3036144578313
"BRONX","Traffic Signal Condition",35.3737975391499
"BROOKLYN","Traffic Signal Condition",10.0509002057613
"MANHATTAN","Traffic Signal Condition",12.6866352201258
"QUEENS","Traffic Signal Condition",34.75753370341
"STATEN.ISLAND","Traffic Signal Condition",34.0711805555556
"Unspecified","Traffic Signal Condition",13.0315476190476
"BRONX","UNSANITARY CONDITION",347.194673784104
"BROOKLYN","UNSANITARY CONDITION",281.849295788069
"MANHATTAN","UNSANITARY CONDITION",284.176212750637
"QUEENS","UNSANITARY CONDITION",347.4804207166
"STATEN.ISLAND","UNSANITARY CONDITION",320.619774939173
"BRONX","Water System",131.084349134688
"BROOKLYN","Water System",61.1919952210275
"MANHATTAN","Water System",50.4406549520767
"QUEENS","Water System",161.714359974009
"STATEN.ISLAND","Water System",48.8571484992101
